id,student_id,date,duration_min,amount
5892e36e,1ee0659f,2025-05-19,60,23.0
8dd360cb,83a40bac,2025-05-19,60,23.0
7b42d164,2e27780d,2025-05-19,60,23.0
12f8a053,a58fecb2,2025-05-19,60,23.0
9aaa7dc0,cb66988c,2025-05-20,60,20.0
d4da281b,54be4918,2025-05-20,60,18.0
8e03d723,83a40bac,2025-05-20,60,23.0
f19a5c0f,08833181,2025-05-20,60,20.0
d48ba918,ee06811a,2025-05-20,60,23.0
7e25beed,f87961ca,2025-05-20,60,23.0
3fae4259,1ee0659f,2025-05-21,60,23.0
4ac68fbb,3b55f071,2025-05-21,60,20.0
870103bb,f87961ca,2025-05-21,60,23.0
9e3e5d5a,d1076f9d,2025-05-21,60,20.0
fa82c794,83a40bac,2025-05-21,60,23.0
9923dfd1,08833181,2025-05-21,60,20.0
d16c2736,54be4918,2025-05-21,60,18.0
00424f93,f753845e,2025-05-21,60,23.0
ab693303,cb66988c,2025-05-22,60,20.0
4d738b55,f87961ca,2025-05-22,60,23.0
92f4dce3,8b3d34f1,2025-05-22,60,23.0
d1fbcca1,54be4918,2025-05-22,60,18.0
7c3c3f4d,83a40bac,2025-05-22,60,23.0
d349587a,08833181,2025-05-22,60,20.0
57f2237a,ef18c8b8,2025-05-22,60,18.0
a0c46cb5,42b54fd1,2025-05-22,60,20.0
d934e3db,1ee0659f,2025-05-23,60,23.0
f273025a,cb66988c,2025-05-23,60,20.0
75ebe3e0,a58fecb2,2025-05-23,60,23.0
b96c223d,d1076f9d,2025-05-23,60,20.0
bfe9c497,d5147f4d,2025-05-19,60,18.0
260724a8,541845ea,2025-05-19,60,20.0
2bf84645,541845ea,2025-05-20,60,20.0
d1e87c6c,d5147f4d,2025-05-20,60,18.0
eeb598a6,0ce53445,2025-05-20,60,20.0
8eb78ab0,0ce53445,2025-05-22,60,20.0
b5cd777a,08833181,2025-05-24,60,20.0
d595a96a,83a40bac,2025-05-24,60,23.0
50707b44,8b3d34f1,2025-05-24,60,23.0
bd1d5d1e,a3437ed9,2025-05-30,60,23.0
041b7245,ef18c8b8,2025-05-21,60,18.0
d82a071a,d5147f4d,2025-05-22,60,18.0
a0bc20c0,d5147f4d,2025-05-24,60,18.0
d889a584,f87961ca,2025-05-26,60,23.0
bbda74fe,3b55f071,2025-05-26,60,20.0
d47629c0,541845ea,2025-05-26,60,20.0
c2e807b3,a3437ed9,2025-05-26,60,23.0
7834e5bb,f753845e,2025-05-26,60,23.0
7c6d0f73,54be4918,2025-05-26,60,18.0
1ef47546,08833181,2025-05-26,60,20.0
b4eb788d,1ee0659f,2025-05-26,60,23.0
bee8c4e4,83a40bac,2025-05-26,60,23.0
f098d48b,1ee0659f,2025-05-27,60,23.0
6ee2314e,fdbb556e,2025-05-27,60,23.0
e46fbc2a,83a40bac,2025-05-27,60,23.0
1c51eb6c,d5147f4d,2025-05-27,60,18.0
78ae91f8,1ee0659f,2025-05-28,60,23.0
014eda42,3b55f071,2025-05-28,60,20.0
94a3e6ff,42b54fd1,2025-05-28,60,20.0
51baca90,83a40bac,2025-05-28,60,23.0
e30fa48b,08833181,2025-05-28,60,20.0
9a512e56,08833181,2025-05-29,60,20.0
c3e604b4,d5147f4d,2025-05-29,60,18.0
a1ca8ebb,1ee0659f,2025-05-30,60,23.0
d471736a,08833181,2025-05-30,60,20.0
884f047d,08833181,2025-05-31,60,20.0
2b495448,42b54fd1,2025-05-31,60,20.0
f71ec73f,d5147f4d,2025-05-25,60,18.0
5ae63b1e,83a40bac,2025-05-25,60,23.0
3e05aa34,ee06811a,2025-05-27,60,23.0
4e9981ad,a58fecb2,2025-05-27,60,23.0
6fb7498f,8b3d34f1,2025-05-27,60,23.0
c62c9ef5,dd2abbf7,2025-05-27,60,23.0
423390c9,a58fecb2,2025-05-30,60,23.0
6cda1712,346ca582,2025-05-01,120,40.0
ebc87122,54be4918,2025-05-27,60,18.0
a2fa94fb,a3437ed9,2025-05-28,60,23.0
8a553326,0ce53445,2025-05-29,60,20.0
33a86bcc,54be4918,2025-05-30,60,18.0
170df166,d5147f4d,2025-05-30,60,18.0
282f8ec8,541845ea,2025-05-28,60,20.0
001f5aae,42b54fd1,2025-05-25,60,20.0
2f006d3f,8b3d34f1,2025-05-29,60,23.0
7c228384,dd2abbf7,2025-05-28,60,23.0
c1a66351,83a40bac,2025-05-28,60,23.0
ae16f1c7,0ce53445,2025-05-30,60,20.0
3a9ad12c,a3437ed9,2025-06-01,60,23.0
7609b675,0ce53445,2025-06-02,60,20.0
f0225d01,54be4918,2025-06-02,60,18.0
047b6678,d5147f4d,2025-06-02,60,18.0
18187d37,8b3d34f1,2025-06-03,60,23.0
3916cb1d,e84c04a2,2025-06-03,60,23.0
1b81222f,fdbb556e,2025-06-03,60,23.0
0110bac6,3b55f071,2025-06-03,60,20.0
b6a4ecee,d5147f4d,2025-06-03,60,18.0
ebc1ef53,541845ea,2025-06-03,60,20.0
311b8e53,a3437ed9,2025-06-03,60,23.0
f8a7449c,54be4918,2025-06-03,60,18.0
5a924f05,8b3d34f1,2025-06-04,60,23.0
e11ea5a7,f87961ca,2025-06-04,60,23.0
9418fb89,3b55f071,2025-06-04,60,20.0
1e4180ed,a3437ed9,2025-06-04,120,46.0
b396efc1,54be4918,2025-06-04,60,18.0
